DATE,CLVMNACSCAB1GQFR
2000-01-01,435384.6
2000-04-01,439538.9
2000-07-01,442285.6
2000-10-01,445842.8
2001-01-01,448462.0
2001-04-01,448999.1
2001-07-01,450475.3
2001-10-01,450373.9
2002-01-01,452007.6
2002-04-01,454199.7
2002-07-01,455879.8
2002-10-01,455948.4
2003-01-01,456690.4
2003-04-01,455657.6
2003-07-01,458795.5
2003-10-01,462257.1
2004-01-01,466552.5
2004-04-01,469570.6
2004-07-01,470929.0
2004-10-01,474357.7
2005-01-01,475629.1
2005-04-01,476471.6
2005-07-01,478901.3
2005-10-01,482525.2
2006-01-01,486265.1
2006-04-01,491154.6
2006-07-01,491172.0
2006-10-01,495179.4
2007-01-01,498778.2
2007-04-01,502656.2
2007-07-01,504328.5
2007-10-01,505489.8
2008-01-01,507758.2
2008-04-01,505345.9
2008-07-01,503772.0
2008-10-01,496753.2
2009-01-01,488496.8
2009-04-01,487968.3
2009-07-01,488735.4
2009-10-01,492313.0
2010-01-01,494192.1
2010-04-01,496712.6
2010-07-01,499615.8
2010-10-01,503132.5
2011-01-01,508345.6
2011-04-01,508540.8
2011-07-01,509999.6
2011-10-01,511209.2
2012-01-01,511786.0
2012-04-01,510795.7
2012-07-01,511784.0
2012-10-01,511418.9
2013-01-01,511292.3
2013-04-01,514750.0
2013-07-01,514798.3
2013-10-01,517346.9
2014-01-01,518054.1
2014-04-01,518439.6
2014-07-01,520644.3
2014-10-01,521316.7
2015-01-01,524046.0
2015-04-01,523869.2
2015-07-01,525677.7
2015-10-01,526274.8
2016-01-01,529971.2
2016-04-01,528671.7
2016-07-01,529873.6
2016-10-01,532968.0
2017-01-01,537311.7
2017-04-01,541148.1
2017-07-01,544902.5
2017-10-01,549568.8
2018-01-01,550356.2
2018-04-01,551433.4
2018-07-01,553393.7
2018-10-01,557009.8
2019-01-01,560050.2
2019-04-01,561435.6
2019-07-01,562321.5
2019-10-01,561278.1
2020-01-01,527940.4
2020-04-01,455004.5
